order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1,1,1,RS,,Research ,Research,This goal captures the degree to which Palmyra provides access to research opportunities.,1,RS(layers),
2,2,2,RAO,,Resource Access Opportunities,Resource Access \nOpportunities,"This goal captures the access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters.",1,RAO(layers),
4.2,4,11,HS,,Habitat Services,Habitat\nServices,This goal captures the services provided by marine habitats including coastal protection and carbon storage.,1,,HS(scores)
4.1,4.1,3,CS,HS,Carbon Storage,Carbon Storage,This subgoal captures the carbon stored in natural coastal ecosystems that absorb and sequester carbon in large amounts.,0.5,CS(layers),
4.3,4.2,4,CP,HS,Coastal Protection,Coastal\nProtection,This subgoal measures the amount of protection certain coastal habitats provide by measuring the current area they cover relative to the area they covered in the recent past.,0.5,CP(layers),
6,6,5,TR,,Tourism & Recreation,Tourism\n&\nRecreation,This goal captures the value people have for experiencing and taking pleasure in coastal areas.,1,TR(layers),
8.2,8,12,SP,,Sense of Place,Sense of Place,This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.,1,,SP(scores)
8.1,8.1,6,ICO,SP,Iconic Species,Iconic\nSpecies,This subgoal captures the species that are important to a region because they are relevant to local cultural identity.,0.5,ICO(layers),
8.3,8.2,7,LSP,SP,Lasting Special Places,Lasting\nSpecial\nPlaces,"This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.5,LSP(layers),
9,9,8,CW,,Clean Waters,Clean Waters,This goal captures the degree to which waters are polluted.,1,CW(layers),
10.2,10,13,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,,BD(scores)
10.1,10.1,9,HAB,BD,Habitats,Habitats,This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.,0.5,HAB(layers),
10.3,10.2,10,SPP,BD,Species,Species,This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.,0.5,SPP(layers),
