region_id,year,scenario_year,cmpa,cp,pa,area_inland1km,area_offshore3nm,pct_cp,pct_cmpa,status
1,2001,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2002,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2003,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2004,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2005,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2006,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2007,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2008,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2009,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2010,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2011,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2012,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2013,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2014,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2015,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2016,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2017,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2018,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
1,2019,2020,194.049729276357,2.25831098296371,196.3080402593207,2.25831098296371,194.049729276357,100,100,1
