region_id,year,pressure_score
1,1986,0.2804678168505462
1,1987,0.2739333767301233
1,1988,0.26827228194988756
1,1989,0.26433075017606217
1,1990,0.3471631777785244
1,1991,0.35449320217946134
1,1992,0.2862901560863743
1,1993,0.31961863459074846
1,1994,0.409124308085911
1,1995,0.3792920607074838
1,1996,0.30784277930281084
1,1997,0.31015905234339813
1,1998,0.2785312011084462
1,1999,0.18515964056050732
1,2000,0.11780506056510394
1,2001,0.12747376510559982
1,2002,0.17338991875734136
1,2003,0.2080477525303271
1,2004,0.32719995994010326
1,2005,0.3803376011096319
1,2006,0.4116585581385588
1,2007,0.3005379552660588
1,2008,0.2507870603642128
1,2009,0.2492878007322767
1,2010,0.21862189887049321
1,2011,0.15619071424127975
1,2012,0.1699650056882206
1,2013,0.19092737443940042
1,2014,0.1580376780693376
1,2015,0.3597922650916339
1,2016,0.44296844455713913
1,2017,0.4869047841690119
